약어,원어,설명,참고자료
SCAC,SHIFT & CLUTCH AUTO CONTROL,전기적 신호에 의해 압축공기를 이용하여 CLUTCH PEDAL 조작없이 변속을 행하는 완전자동 변속 장치.,-
SCC,SMART CRUISE CONTROL,기존 크루즈 컨트롤 기능에 레이다를 이용 전방 차량과 간격 및 차속 유지기능을 추가한 적응형 크루즈 컨트롤,-
SCC,Smart Cruise Control,스마트 크루즈 컨트롤,-
SCC,Smart Cruise Control,-,-
SCC w/ S&G,Smart Cruise Control with Stop & Go,스마트 크루즈 컨트롤 (스탑앤고 기능 포함),-
SCC w/ S&G,Smart Cruise Control with Stop & Go,-,-
SCC-ML,Smart Cruise Control-Machine Learning,"자동차가 운전자의 성향을 기억한 뒤 SCC를 켰을 때, 운전자와 유사한 자율 주행을 구현함.",-
SCCS,Sleeping Child Check System,운전자 또는 차량 지도교사가 통학버스에 방치된 아이가 있는지 확인해야만 운행종료를 할 수 있는 방식.,-
SCHDL,SCHEDULE,시간 예정표,-
SCM,Steering column Control Module,스티어링 컬럼 제어 모듈. 차량의 스티어링 휠의 위치를 제어.,-
SCMS,Security Credential Management System,-,-
SCR,Selective Catalytic Reduction,"선택적 환원 촉매 장치. EURO6 환경 법규를 만족하기 위해, 요소수 탱크에 보관 중인 요소수를 분사하여 엔진에서 생성되는 질소 산화물을 정화시키는 후처리 시스템",-
SCR,SILICON CONTROLLED RECTIFIER,실리콘 제어 정류기.,-
SCU,SBW(Shift By Wire) Control Unit,SBC(Shift By Cable) 변속기에 부착하면 SBW(Shift By Wire) 시스템으로 순식간에 변환시킬 수 있는 부품,-
SCWR,Sleeping Capacity Weight Rating,취침정원중량.,-
SD,SCHEMATIC DIAGRAM,회로도,-
SDARS,Satellite Digital Audio Radio Service,위성 디지털 오디오/라디오 시스템.,-
SDC,Solar Dish Concentrator,접시형 태양열 집열기. 차량에 들어가는 태양(Solar) 충전 시스템 (=솔라루프),-
SDN,SEDAN,"승용차 모델 구분시 외관을 중심으로 구분할때 가장 기본적인 모델로서 3박스카의 미국식 이름이다. 영국에서는 설룬, 독일에서는 리무진 등으로 부른다.",-
SEA,Safe Exit Assist,"안전 하차 보조. 정차 시 후석 탑승자의 하차를 위해 전자식 차일드 락 버튼을 누를 때, 후측방에서 접근하는 차량과의 충돌 위험을 감지하면 자동으로 전자식 차일드 락을 잠김 상태로 유지하고 경고.",-
SEA,Safe Exit Assist,-,-
SEALER,-,"BODY 접합부의 누수, 녹, 투과소음 방지를 위하여 하도 도장후 사용하는 SEALER(편의상 WHITE SEALER 또는 도장 실라라고 부르기도 한다.)",-
Seat Massage,Seat Massage,시트에 마사지 기능을 추가하여 운전자 및 탑승자의 피로감을 덜 느끼게 해주는 시스템,-
SEC,SECTION,단면. 구역.,-
SELF LEVELIZER,-,화물 적재에 따른 차고의 변화에 대응. 항상 일정한 차고를 유지시킬 수 있도록 SHOCK ABSORBER 유압 조정.,-
SEMI_ACT_SOL,SEMI-ACTUATOR SOLENIOD,반자동 엑츄에이터 솔레노이드,-
SEMI_ACT_UNIT,SEMI-ACTUATOR SOLENIOD,반자동 엑츄에이터 솔레노이드를 컨트롤 하는 유닛,-
SEW,Safe Exit Warning,"안전 하차 경고. 정차 시 탑승자가 하차를 위해 도어를 열 때, 후측방에서 접근하는 차량과의 충돌 위험을 감지하면 경고. Re) SEA (Safe Exit Assist)",-
SF,SEA FREIGHT,해상 운송. 선박에 의한 물품 수송.,-
SGU,Smart Glass Unit,전기 활성 글라스. 물리적 블라인드 대신 전류 (전자 음영 처리 또는 반투명 PV 윈도우를 사용) 를 활용해 유리 투명도 및 자외선 차단 등을 조절.,-
SHEATH HEATER,SHEATH HEATER,"전열 히터의 기본으로 금속 보호관에 전열선을 코일모양으로 내장하고 절연 분말인 산화마그네슘을 충진 후 압축 가공함으로써 전열선과 보호관을 절연한 관(파이프) 형태의 히터. 외부의 물리적인 충격에도 견고하고 내진동, 열효율성 및 절연성이 매우 뛰어나며 사용자의 용도에 따라 다양한 형태로 제작할 수 있다.",-
SHELVES,-,버스용 선반(승객 수하물 보관용),-
SHIELD WIRE,-,전기신호선의 전자파 방사 또는 유입 차단을 목적으로 사용되는 배선의 일종.(신호선 피복을 별도의 금속선으로 재피복하여 전기적인 차례를 목적으로 함.),-
SHIFT LOCK,-,변속레버가 P나 N일 때에도 브레이크를 밟지 않으면 시동이 걸리지 않거나 시동후에도 변속되지 않도록 하는 장치.,-
SHIPPING HOOK,-,차량을 배로 이동할 경우 배에 ROPE로 차를 고정시키기 위한 차체 PART,-
SHOCK SNSR,SHOCK SENSOR,"차량 충돌, 전복시 DR의 잠금 장치를 자동으로 해제시켜 주는 시스템.",-
SHOULDER RETRACTOR,SHOULDER RETRACTOR,에깨 안전 벨트 장치.,-
SHU,Seat Heater Unit,시트 열선 유닛.,-
SHUNT CONN,SHUNT CONNECTOR,EC DRL 사양일때 기존 내부 TAIL은 직접 FUSE에서 전원을 받아 컨트롤 되었으나 SHUNT CONN 적용 사양은 내부 TAIL을 DRL UNIT에서 컨트롤 된다.,-
SIDE RAIL,-,적재함 바닥(FLOOR) 외곽부 강도 보완 및 타 부품의 유동방지. SIDE GATE 하중중지.,-
SIDE_BWS_SNSR,SIDE BACK WARNING SYSTEM SENSOR,후방 경고 시스템,-
SIREN,SIREN,경보기.,-
SIS,SIDE IMPACT SENSOR,"A/BAG SYSTEM의 일부로서 측면에서 발생하는 충격을 감지하여 SIDE A/BAG을 전개시키기 위한 충격 감지 센서 통상 용량 : 0.2mA, 정상소비전류 : 5~8mA, 최대구속전류 : 35mA로 설정.",-
SIS,Side Impact Sensor,전자식 측면 가속도 센서로 측면 충돌시 충돌감지 센서가 충돌 정도를 감지하여 ACU에 신호 전달,-
SKD,SEMI KNOCK DOWN,일부 분해된 상태로 되는 수입 부품. (Ref : CKD),-
SL,SAFETY LEVEL,안전 재고. 갑작스런 수요의 증가에 대비하여 보유하는 여유 재고.,-
SL,SPORT CAR,스포츠용 자동차.,-
SLA,SHORT AND LONG ARM,프런스 서스펜션 방식의 장단의 지지암.,-
SLB,STAREX LUXURY BUSINESS,업무의 편의성과 쾌적성을 갖춘 업무용 CAR.,-
SLID'G DR,SLIDING DOOR,버스의 승하차용 여닫이 출입문. 미닫이식 구조로 소형 상용차의 RAIL로 개폐하는 DOOR,-
SLM,Seatbelt & Light Module,시트벨트 및 조명 모듈. (BCM 하위호환),-
SLS,Straight Line Stability,직진제동 쏠림방지 시스템. 직진 제동 중 불안정하게 좌우로 쏠리는 현상 발생 시 브레이크 압력을 이용하여 직진으로 제동할 수 있도록 제어합니다,-
SLV,SUPER LUXURY VECHICLE,HMC에서 최고의 편의성과 쾌적함을 갖춘 미래 지향적 스타일 VIP 전용 컨셉터 CAR.,-
SMART AIR BAG(ADVANCED AIRBAG),-,"VARIABLE OUTPUT INFLATOR, 승객 유무 감지, 어린이 / 성인구분, 승객자세, 밸트 착용여부 감지등의 종합 구성하여 AIRBAG의 안전성/효과를 향상시키기 위한 시스템",-
SMBL,Side Mounted Bed Lamp,사이드 장착 베드 램프. 투싼 북미 픽업트럭(NX4 OB) 에 장착됨.,-
SMPS,Switching Mode Power Supply,"전원 공급 장치로, 스위칭 트랜지스터 등을 이용하여 교류 전원을 직류 전원으로 변환하는 스위치 제어 방식을 사용",-
SMT,SURFACE MOUNT TECHNOLOGY,"표면실장기술 표면 실장형 부품을 PCB 표면에 장착하고 납땜하는 기술을 의미하는 것으로 IMT 는 PCB 한쪽면에만 모든 부품이 배치되었으나,SMT는 PCB 양면 모두에 부품을 배치할 수 있음.",-
SN,SERIAL NUMBER,일련 번호.,-
SNSR_INCAR_HUMIDITY,SENSOR INCAR HUMIDITY,차량내 습도 감지기,-
SNSR_OPTICAL,SENSOR OPTICAL,광센서,-
SNSR_PHOTO,SENSOR PHOTO,광전 감지기.,-
SO,SHOWN ON,지정된 번호를 찾아보라.,-
SOC,State Of Charge,배터리의 잔존 용량,-
SOH,State Of Health,배터리 건강 상태. 노화도,-
SOHC,SINGLE OVER HEAD CAMSHAFT,실린더마다 흡/배기 밸브가 1개씩 있는 엔진.,-
SOL,SOLENOID,스윗치류 전기 제어 밸브.,-
SOL VALVE,SOLENOID VALVE,엔진 시동이 걸렸을때 엔진 내부에 진공이 생긴다. 이 진공을 닫았다 열었다 하여 제어함.,-
SOLENOID VALVE,-,CATALYTIC CONVERTER 앞에 AIR를 공급.,-
SOP,START OF PRODUCT,양산시점,-
SOS 자동 BRAKE SYSTEM,-,운전자가 갑자기 신체가 불편하여 운전이 불가능할 경우 스위치 하나만으로 경보 및 자동 브레이크 작동.,-
SOTA,Software Over-The-Air,소프트웨어 원격 업데이트 기술 .(ref. FOTA(Firmware Over-The-Air)),-
SOW,Statement Of Work,"(업무 용어) 작업 기술서 혹은 작업 지시서. 고객의 요구사항 및 프로젝트의 결과 등을 상세히 기술해 놓은 명세서로서, 상호 기대 사항을 공유하고 의사소통을 증진시키기 위한 것.",-
SP,Semi-PILOT,파일럿(PILOT)단계 업무를 본사에서 수행,-
SPAS,Smart Parking Assist System,"스마트 주차 보조 시스템. 차량 센서를 이용하여 주차 공간을 탐색하고, 주차를 위한 각종 안내문구 및 음성 안내와 함께 스티어링 휠(핸들)만 제어하여 운전자의 주차 및 출차를 도와주는 보조장치.",-
SPC,Statistical Process Control,공정능력 개선을 통한 통계적 관리상태의 달성 및 유지가 그 목적으로 공정 또는 그의 결과를 분석하기 위한 관리도와 같은 통계적 기법의 활용.,-
SPDU,Smart Power Distribution Unit,스마트 전력 분배 장치.,-
SPEC,SPECIFICATION,"사양. 제품특성의 합격.불합격을 판단하는 기술적인 요구조건이며, 초도품승인을 위해서는 설계도면에 나오는 부품에 대한 모든 요구조건을 만족해야 한다.",-
SPEED SNSR,SPEED SENSOR,속도 감지기. 점화시기에 크랭크 샤프트가 돌때마다 점화코일 (-)터미널 전압은 2번 급증한다. 이러한 코일 (-)터미널의 전압 변화를 감지하여 PEAK 전압 사이의 시간을 측정하면 ECU는 엔진 속도를 계산하여 엔진 작동 모드를 판단하고 공기:연료 비율과 점회시기를 조정.,-
SPI,SINGLE POINT INJECTION,MPI와 달리 인젝터를 각 흡기구에 한 개씩 설치하는 것이 아니라 흡기구를 한 개만 설치한 방법.,-
SPKR,SPEAKER,스피커.,-
SPKR AMP,SPEAKER AMPLIFIER,스피커 증폭기.,-
SPORTS MODE,STEPTRONICS SPORTS MODE AUTO TRANSMISSON,HIVEC 자동 변속기의 기능을 기본으로 신속한 변속 응답성과 수동 변속기의 Fun To Drive. 자동 변속기의 Easy Drive 조작성과 주행 안전성의 향상을 이룬 자동 변속기임. 일반 주행에서 레버를 우측을 옮겨 전환하고 레버를 전/후로 1회씩 조작할 때마다 1단씩 변속되며 저단 변속시 빠르게 2회 조작하면 2단씩 변속됨,-
SPR,SPRING,용수철.,-
SPWS,SAFETY POWER WINDOW SYSTEM,자동차의 창문을 자동닫힘장치(1회의 조작에 의한 창문닫힘)에 의해 창문이 상승할 때 신체 또는 이물질이 낄 경우 자동으로 창문이 멈추고 안전 거리로 하강하는 시스템.,-
SQC,STATISTICAL QUALITY CONTROL,통계적 품질 관리. 통계적 기법의 응용의 강조한 품질 관리.,-
SR,Sourcing Requirement,"제품 개발에 대한 투자비, 금형지, 제품단가 등에 대한 내용을 요청하는 것 .(각종 요구사항들이 들어있는 구매사양서로 고객들의 요구 및 요청에 따른 내용이 개발자에게 전달되어지는 보고서)",-
SR,STYLING REQUIREMENT,"의미상품구상서 및 제품구상안에 따른 상품 콘셉트로서 목표시장, 스타일링 요구사항, 주요 제원 등을 포함한,디자인에 대한 설계 요구사항을 제시하는 것.",-
SR SW,AUDIO STEERING REMOCON SW,핸들 상단에 AUDIO 조작용 SW가 부착되어 AUDIO 본체의 KNOB 별도 조작없이 AUDIO의 각종 기능을 제어.,-
SRC,SOURCE,기초 부품의 구입처.,-
SRS,SUPPLIMENTAL RESTRAINT SYSTEM,보조 구속 장치(일반적인 구속장치는 AIR BAG이다.),-
SRSCM,SUPPLEMENT RESTRAINT SYSTEM CONTROL,안전벨트 구속 장치 기능이 있는 A/BAG ECU,-
SS,STANDING-SHART,정지 상태의 발진.,-
SSEM,Stop Signal Electronic Module,스톱 신호 전기 모듈,-
SSPS,SPEED SENSING POWER STEERING,차속 감응형조향장치. 실제 차속에 따라 유량을 달리 공급하여 보다 현실적인 보조력을 발생시키는 Steering System,-
ST,SHORT-TON,"경, 톤.",-
ST MTR,START MOTOR,IGN SW를 ST에 놓으면 스타트 모타와 엔진의 RING GEAR와 맞물리게 하어 최초 엔진을 동작시키는 장치.,-
ST SOL,START SOLENOID,시동용 솔레노이드. 엔진의 가동시 스타트 모타의 동작이 원활하고 순간 동력이 강력하게 하는 기능.,-
STA,SPARK TIMING ADJUST,점화 시간 조정기.,-
STANCHION PIPE,-,버스 실내 승객 보호용 손잡이 기둥.,-
STC,STATIC,S/BELT 길이를 승객이 손으로 조절하여 자기 몸에 맞게 스스로 구속 시킴. 주로 뒷좌석 중간 SEAT에 사용.,-
STD,STANDARD,표준.,-
STEERING_TELE,STEERING TELE,스티어의 높낮이를 조절하는 유닛,-
STEERING_TILT,STEERING_TILT,스티어의 경사를 조절하는 유닛,-
STEP LP,STEP LAMP,"야간에 승객의 승,하차시 계단이 어두우면 사고의 위험이 있기 때문에 승객의 시야를 확보하기 위하여 입구 바닥쪽과 천정쪽에 등을 설치한 것을 말함.",-
STOP LAMP FAILURE RLY,STOP LAMP FAILURE RELAY,STOP LAMP FAILURE RLY내에서 STOP LAMP LH와 RH의 저항값을 비교하여 다를 시에는 CLUSTER IND로 출력을 내보내 운전자의 주의를 환기시키는 시스템,-
STOP LP FAIL RLY,STOP LAMP FAIL RELAY,전시 등화 관제용.,-
STOP LP FAILURE RLY,STOP LAMP FAILURE RLY,stop lp가 나갔을 때 감지하여 클러스터에 warning ind를 띄워주는 유닛.,-
STOP LP SW,STOP LAMP SWITCH,정지등 스윗치. 브레이크 페달 아래쪽에 위치하여 브레이크 페달을 밟으면 작동하여 정지등이 점등됨.,-
STP,Shielded Twisted Pair,"이터넷 케이블 중에 하나로 FTP에 꼬여있는 구리선을 한 묶음으로 나누어 한 번 더 호일을 감싸 준 형태. (Ref : UTP, FTP)",-
STPS,SEAT TRACK POSITION SENSOR,"운전자, 동승자의 시트 위치를 감지하여 에어백의 전개 크기를 조정하여 운전자 및 동승자의 안전을 최대화함.",-
STRG,STEERING,조향장치.,-
STRG H/L SW,STEERING WHEEL HANDLE LOCKING SWITCH,도난 방지용 핸들 잠금 스윗치.,-
SUB ENGINE AIRCONDITION,-,AIR CONDITION 구동 전용 보조 ENGINE을 설치. MAIN ENGINE 정지시에도 가동 가능.,-
SUB KEY,-,IGNITION 및 DOOR 개폐만 가능한 KEY(GL/BOX LOCK나 T/LID는 개폐 불가능.),-
SUB_WOOFER,SUB WOOFER,우퍼,-
SUIV,Smart User Interface Vehicle,-,-
SULEV,Super Ultra Low Emission Vehicle,극초저공해자동차(극히 적은 배출가스를 내뿜는 자동차). 미국 자동차 배출가스 연방 규제.,-
SURGE TANK,-,AIR SUSPENSION SYSTEM에서 Air spring의 용량 보정 TANK,-
SUV,SPORT UTILITY VEHICLE,LEISURE용으로 사용하나 일반적으로 OFF ROAD 주행 기능이 포함된 차.,-
SVM,Stack Voltage Monitor,스택 각 셀의 전압을 측정하는 스택 셀 전압 측정 장치,-
SVM,Surround View Monitor,Surround View Monitor. 차의 앞뒤와 옆면에 부착된 카메라를 통해 차 주위 공간을 차내에서 볼 수 있는 모니터로 주차를 편하게 하기 위해 개발된 장치.,-
SVM,Surround View Monitor,-,-
SVM Ⅱ,Surround View Monitor Ⅱ,서라운드 뷰 모니터 Ⅱ,-
SVM Ⅱ,Surround View Monitor Ⅱ,-,-
SVM Ⅲ,Surround View Monitor Ⅲ,서라운드 뷰 모니터 Ⅲ,-
SVM Ⅲ,Surround View Monitor Ⅲ,-,-
SW,STANDING WAVE,"고속도로 주행시 타이어 공기압이 부족하면,(100KM/H 이상 주행시) 접지면과 떨어지는 타이어의 일부분이 물결 모양의 변형이 나타나고,심하면 타이어가 파손하는 현상.",-
SWRC,Steering Wheel Remote Control,스티어링 휠 리모컨. 자동차의 조향외에 자동차를 운행하면서 스티어링 휠에서 자동차에 설치 된 장치를 조정할 수 있게 만든 시스템,-
SYMN,SYMMETRIC,대칭.,-
T/C,TRIP COMPUTER,"차량의 지금까지의 평균속도, 현재 남아있는 연료의 주행가능 거리 등의 정보를 액정 디스프레이에 나타내는 기능.",-
T/C,TURBO CHARGER,터빈측 날개에 배기가스가 부딛쳐 축을 돌리게 되면 컴프레서도 함께 돌면서 연소실로 신선한 공기를 다량 압축 공급하는 장치.,-
T/F,TANSFER,사륜구동 차량에서 전/후륜으로 엔진동력을 연결(전달) 및 차단하는 기어,-
T/GATE,TAIL GATE,뒷문.,-
T/GATE EXTN HARN,TAIL GATE EXTENSION WIRING HARNESS,테일 게이트 익스텐션 와이어링 하네스,-
T/GATE OPENER,TAIL GATE OPENER,뒷문 개폐 스윗치.,-
T/LID,TRUNK LID,트렁크 뚜껑.,-
T/LID HARN,TRUNK LID WIRING HARNESS,트렁크 리드 와이어링 하네스,-
T/LID MAIN SW,TRUNK LID MAIN SWITCH,트렁크 뚜껑 개폐 주 스윗치.,-
T/LID OPENER SW,TRUNK LID OPENER SWITCH,트렁크 뚜껑 개폐 스윗치.,-
T/LID SOL,TRUNK LID SOLENOID,트렁크 뚜껑 개폐 솔레노이드.,-
T/LID SW,TRUNK LID SWITCH,트렁크 리드 스위치.,-
T/M,TRANSMISSION,트랜스 미션.,-
T/OPENER,TRUNK OPENER,트렁크 개폐기.,-
T/OPENER SW,TRUNK OPENER SWITCH,트렁크 개폐를 위한 스윗치.,-
T/OUT,TRY-OUT,"양산요소(장비,금형,재료)를 SETTING한 후 소량시험생산을 통해, 양품생산을 위한 최적의 가공조건을 만드는 보정(금형/지그 위치변환 장비온도설정, TOOL 속도변경)과정이다.",-
T/R SOL,TENSION REDUCER SOLENOID,S/Belt의 Retraction Force를 줄여 장시간 S/Belt 착용시 발생되는 압박감을 감소시켜 주는 장치,-
T/REDUCER SOL,TENSION REDUCER SOLENOID,"(Electrical Tension Reducer, 전기식 장력 감소기) 텐션 리듀서라는 것은 시트 벨트 장착시에 벨트 감는 힘을 감소시켜 시트 벨트의 장착에 의한 압박감을 감소시키는 기구를 말하며, 그것을 액츄에이터 솔레노이드를 사용해서 전기적으로 행하는 것이 전기식 텐션 리듀서",-
T/ROOM HARN,TRUNK ROOM WIRING HARNESS,트렁크 품 와이어링 하네스,-
T/ROOM LP,TRUNK ROOM LAMP,트렁크 OPEN시 램프를 ON하여 사용자의 시야를 확보한다.,-
T/ROOM LP SW,TRUNK ROOM LAMP SWITCH,트렁크 안을 밝혀주는 램프 동작 스윗치.,-
T/SIG LP,TURN SIGNAL LAMP,방향 지시등. 주행시 상대방으로부터 자신의 진행 방향을 가르키는 장치.,-
T/STAT,THERMOSTAT,냉각수 제어 장치. 엔진의 WATER JACKET에 설치되어 냉각수의 온도가 일정온도(88℃±5℃)가 되면 밸브가 열려 라디에타로 가열된 냉각수를 순환 시키는 장치.,-
T/UNLOCK SW,TRUNK UNLOCK SWITCH,트렁크 열림 스윗치.,-
T_G_ACTR,TAIL GATE ACTUATOR,테일게이트 동작 장치,-
T1,-,양산공장에서 신차 생산을 위한 설비와 지그의 설치 및 개조 등의 설비 트라이아웃 단계로써 설비 단독 시운전을 통한 설비 능력을 확인하다. 공정원에 대하여 오프라인 조립교육을 실시하고 조립공법계획서를 작성 배포한다.,-
T2,-,"양산공장에서 P1 운영 시 발췌된 설비 및 지그 문제점을 개선 반영하고 흐름 시운전을 통한 P1 품질 수준을 확인하며, 양산성을 확인하는 단계이다. 오프라인 및 인라인 작업교육을 통한 작업편성 조정 등 작업성을 확인한다. 부품 투입조건은 P1 품확차 동일 수준이다.",-
TAC,TIME & ALARM CONTROL,시간 경보 조정 장치.,-
TACHO,TACHOGRAPH,"Tacho는 속도( Speed ) 라는 뜻의 연결형으로 Tachograph와 Tachometer로 구별 되고있는데Tachograph는자동차의 트랜스미션과 속도기에 연결되어 순간속도, 주행거리, 정차 및 주행시간등을 자동적으로 Graph 용지에 기록하여 줌. 1925년 독일의 광산 운전기사가 실제 많은",-
TACU,TIME & ALARM CONTROL UNIT,시간 경보 제어 장치.,-
TAIL LP,TAIL LAMP,"초저녁 날씨가 완전히 어두워지기 전에 주행할시 LIGHTING SW를 1단에 위치 시키면 POSITION LAMP, RR COMBI, 실내의 각종 ILLUMINATION BULB가 점등되어 주행에 편의를 제공한다. (미등)",-
TANDEM,TANDEM WIPER SYSTEM,가장 일반적으로 사용하는 WIPER SYSTEM으로 운전석과 승객측의 WIPER ARM이 나란하게 작동하는 WIPER SYSTEM.,-
TAS,TECHNOLOGY ASSESSMENT SYSTEM,기술 정보 제도.,-
TAS,TORQUE ANGLE SENSOR,토크앵글센서는 방향 조절 시 조향 토크와 조향각을 검출해 EPS 모터에 동작 신호를 발생시킴.,-
TBC SLD,Tinned copper Braided Conductor - Shield,편조선(평편 동선) - 차폐용,-
TBC-F,Tinned copper Braided Conductor - Flexible Type,편조선(평편 동선) - 유연형,-
TBR,TORQUE BIAS RATIO,"토크 편향율, LSD시스템에서 양쪽휠간 회전수 차이가 발생할때 회전수가 적은 휠쪽으로 구동토크를 전달하는 비율을 의미",-
TC,TURBOCHARGER,배기가스가 터빈하우징내를 흐르면서 터빈 휠을 회전시키고  동일축에 연결된 컴프레셔 휠이 회전하면서 에어크리너를 통해  들어온 공기를 압축하여 연소실로 보낸다,-
T-CAR,TRIAL CAR,"신 플랫폼 개발, 신기구 채택 등을 목적으로 일부 부품의 신작과 양산 부품을 이용, 차량을 조립하거나 양산차를 개조하여 제작하는 시작차.",-
TCB,TIGHT CORNER BRAKING,"Center Diff 기능이 없는 구형 4WD차량의 경우 선회시 전,후륜의 회전속도가 동일하여 선회에 대한 저항력으로 작용하여 차량 속도 감소 및 구동계에 진동,소음 발생하는 현상",-
TCCM,TRANSFER CASE CONTROL MODULE,2륜/4륜 제어 컨트롤러,-
TCI,TURBO CHARGER INTERCOOLER,공기 압축시 온도상승을 방지하기 위해 냉각핀을 장착하여 식혀주는 장치.,-
TCS,TRACTION CONTROL SYSTEM,"눈길이나 미끄러운 노면에서의 출발시나 가속시 각 바퀴의 회전상태를 감지하여 자동으로 바퀴가 헛도는 것을 방지해 안전하며, 코너링시 바퀴를 제어하여 주행안정성을 높여줍니다",-
TCS C/U,TRACTION CONTROL SYSTEM CONTROL UNIT,차량주행 상태에 따라 엔진 출력을 제어함으로서 바퀴의 미끄럼 방지 및 선회 안정성 확보. (ABS에서 한단계 발전된 제동 시스템.),-
TCS SW,TRACTION CONTROL SYSTEM SWITCH,TCS 작동 스위치.,-
TCU,Telematics Control Unit,텔레매틱스 컨트롤 유닛. 5세대(5G) 이동통신 차량용 통신장비,-
TCU,TRANSMISSION CONTROL UNIT,전동 기어 박스.,-
TCU,TRANSMISSION CONTROL UNIT,자동변속기를 최적의 작동 조건으로 제어하는 컴퓨터 장치.,-
TDC,TOP DEAD CENTER,상사점.,-
TDC SNSR,"TOP DEAD CENTER SENSOR (HALL SNSR, PHASE SNSR)","상사점 감지 센서. 과거처럼 NO.1 피스톤의 상사점을 검출하는 것이 아니고 1,3,5 실린더 피스톤의 상사점을 디지털 펄스 신호로 바꾸어 ECU로 전송.",-
TDP,Test & Development Procedure,시험개발절차,-
TDR,TECHNICAL DESIGN REVIEW,기술적 설계/개발 검토를 뜻함 :세부추진항목에 대한 유효성 검증(MDT활동),-
TEMP ACTR,TEMPERATURE ACTUATOR,온도를 감지하여 A/CON을 작동하는 장치. 냉기와 온기의 혼합량을 제어하여 원하는 온도의 공기를 실내로 유입하도록 하는 기능,-
TEMP_ACTR,TEMP ACTUATOR,온도 조절 장치,-
TFT,TASK FORCE TEAM,원래는 군사용어로써 특별 기동부대의 뜻으로서 어떤 프로젝트를 대비하여 만든 팀으로 그 프로젝트를 전담하여 수행한 후 프로젝트가 끝나면 다시 해체한다. 어떤 문제가 발생시 이를 해결하기 위해 관련자 중심으로 구성하는 팀( 문제점 발생후),-
TGAT_L_ACT,TAIL GATE LOCK ACTUATOR,테일 게이트 잠금 장치.,-
TGS,TRANSMISSION GEAR SHIFT KNOB,기어 변속 손잡이,-
THERMISTER,THERMISTER,온도에 따라 A/CON의 작동을 결정.,-
THERMISTOR,THERMISTOR,온도에 따라 A/CON의 작동을 결정. 서미스터 (온도에 따라 전기 저항치(値)가 달라지는 저항체를 이용한 저항기),-
THERMO SNSR,THERMO SENSOR,냉각수 온도 감지기. 설정 온도(55℃±5℃) 이상이 되면 냉각수를 강제 냉각 시키기 위하여 팬 모타를 작동시키는 장치.,-
THERMO SW,THERMO SWITCH,냉각수 온도 감지기 작동 스윗치. 설정 온도(55℃±5℃) 이상이 되면 냉각수를 강제 냉각 시키기 위하여 팬 모타를 작동시키는 스위치.,-
TIE DOWM BRACKET,-,차량을 기차로 이동할 때 차량을 고정시키기 위해 만든 차체부품,-
TILT_TELE_UNIT,TILT TELE UNIT,스티어링 위치를 조절하는 장치,-
TIR,TEST INCIDENT REPORT,시험과정의 문제점,-
TJ,TRIPOD JOINT,등속 조인트 T/M 측에 주로 장착 되는 조인트. 절각과 슬라이딩이 동시에 가능,-
TJA,Traffic Jam Assist,교통 체증 지원 (혼잡구간 주행지원 시스템). 자동차 전용도로의 교통체증구간 시속 0~60 km에서 부분 자율주행을 하는 기능,-
TMED,Transmission Mounted Eletric Device,"병렬식 HEV의 한 방식으로 Hard type hybrid. 트랜스미션에 BATT가 장착되는 형식으로 크기 제한이 없어서 EV Mode가 가능하며, HSG가 적용되고, 연비개선효과가 큼. (ref. FMED)",-
TMK,Tire Mobility Kit,타이어 모빌리티 키트. 펑크가 난 타이어의 공기 주입구를 통해 새는 구멍을 메워주는 액체형 본드인 봉합제(실런트 또는 밀봉제라고도 함)를 분사해주고 약간의 주행으로 고루 퍼지도록 한 뒤 다시 공기를 채워주는 장치,-
TMM,Thermal Management Module,"엔진 열 관리 모듈. 엔진 가열을 가속시키고, 활동적인 동작온도 관리를 통해 엔진 열 효율을 강화시킴으로써 연비를 향상시킴",-
TMS,Terrain Management System,지형 관리 시스템,-
TMU,Telematics Multimedia Unit,"차량에 내장된 모뎀을 활용한 원격제어(시동), 센터를 통한 목적지 설정, 자동사고통보, 경제운전안내, 차량 자가 진단 제공으로 편리한 차량 운행 환경을 제공",-
TOD,TORQUE ON DEMAND,풀타임 4WD의 일종으로 도로여건 및 주행조건에 따라 자체 센서 및 ECU에 의해 2WD ↔ 4WD 변환이 전자제어되는 시스템,-
TOD,TORQUE ON DEMAND,조향각이나 타이어슬립 유무등의 신호를 받아 커플링이라는 전자 클러치에 명령을 보내 제어하는 방식,-
TOL,TOLLERANCE,공차,-
TORQUE_SNSR,TORQUE SENSOR,토크 센서,-
TOWING HOOK,-,차량을 견인하거나 당할 때 ROPE를 걸 수 있도록 만든 차체부품.,-
TP,Transfer Price,"이전가격. 경제적 이해관계를 같이 하는 국외특수관계자 간에 이루어지는 국제거래에 적용되는 가격 (국외 특수관계기업 사이에 원재료, 제품 및 용역을 매출, 매입하는 경우에 적용되는 가격)",-
TPA,TERMINAL POSITION ASSURANCE,EF-CAR의 U/H J/B의 용어.,-
TPA,Terminal Position Assurance,단자 위치 보증,-
TPMS,TIRE PRESSURE MONITORING SYSTEM,타이어 규정 공기압 이하로 변화시 운전자에게 경고 등으로 정보를 전달하여 사고예방 (타이어 압력 모니터링 시스템),-
